lasagna;main dish;"Lasagna is a wide, flat sheet of pasta. Lasagna can refer to either the type of noodle or to the typical lasagna dish which is a dish made with several layers of lasagna sheets with sauce and other ingredients, such as meats and cheese, in between the lasagna noodles.";"https://www.modernhoney.com/wp-content/uploads/2019/08/Classic-Lasagna-12-scaled.jpg";"STEP 1: Preheat oven to 375 degrees F (190 degrees C). Bring a large pot of lightly salted water to a boil. Add noodles and cook for 8 to 10 minutes or until al dente. drain and set aside. STEP 2:Place pork and beef in a large, deep skillet. Cook over medium high heat until evenly brown. Stir in tomato sauce, crushed tomatoes, parsley, garlic, oregano, onion, sugar, basil and salt. Simmer over medium-low heat for 30 minutes, stirring occasionally. STEP 3: In a large bowl, combine cottage cheese, eggs, Parmesan cheese, parsley, salt and pepper. Step 4: In a 9x13 inch baking dish, place 2 layers of noodles on the bottom of dish. layer 1/2 of the cheese mixture, 1/2 of the mozzarella cheese and 1/2 of the sauce. Repeat layers. STEP 5: Cover with aluminum foil and bake in preheated oven for 30 to 40 minutes. Remove foil and bake for another 5 to 10 minutes. let stand for 10 minutes before cutting. serve.";faa9469a-d06b-11ec-9d64-0242ac120002;/recipeImages/Lasagna.png
spaghetti bolognese;main dish;"Spaghetti bolognese consists of spaghetti (long strings of pasta) with an Italian ragù (meat sauce) made with minced beef, bacon and tomatoes, served with Parmesan cheese. Spaghetti bolognese is one of the most popular pasta dishes eaten outside of Italy.";"https://www.kitchensanctuary.com/wp-content/uploads/2019/09/Spaghetti-Bolognese-tall-FS-0204.webp";"STEP 1: Put a large saucepan on a medium heat and add 1 tbsp olive oil. STEP 2: Add 4 finely chopped bacon rashers and fry for 10 mins until golden and crisp. STEP 3: Reduce the heat and add the 2 onions, 2 carrots, 2 celery sticks, 2 garlic cloves and the leaves from 2-3 sprigs rosemary, all finely chopped, then fry for 10 mins. Stir the veg often until it softens. STEP 4: Increase the heat to medium-high, add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over. STEP 5: Add 2 tins plum tomatoes, the finely chopped leaves from ¾ small pack basil, 1 tsp dried oregano, 2 bay leaves, 2 tbsp tomato purée, 1 beef stock cube, 1 deseeded and finely chopped red chilli (if using), 125ml red wine and 6 halved cherry tomatoes. Stir with a wooden spoon, breaking up the plum tomatoes. STEP 6: Bring to the boil, reduce to a gentle simmer and cover with a lid. Cook for 1 hr 15 mins stirring occasionally, until you have a rich, thick sauce. STEP 7: Add the 75g grated parmesan, check the seasoning and stir. STEP 8: When the bolognese is nearly finished, cook 400g spaghetti following the pack instructions. STEP 9: Drain the spaghetti and either stir into the bolognese sauce, or serve the sauce on top. Serve with more grated parmesan, the remaining basil leaves and crusty bread, if you like.";faa94906-d06b-11ec-9d64-0242ac120002;/recipeImages/Spaghetti-Bolognese.png
spaghetti aglio e olio;main dish;"Spaghetti aglio e olio (spaghetti [with] garlic and oil) is a traditional Italian pasta dish from Naples. It is a typical dish of Neapolitan cuisine and is widely popular.";"https://scheckeats.com/wp-content/uploads/2021/01/aglio-e-olio-700x1048.jpg";"STEP 1: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain and transfer to a pasta bowl. STEP 2: Combine garlic and olive oil in a cold skillet. Cook over medium heat to slowly toast garlic, about 10 minutes. Reduce heat to medium-low when olive oil begins to bubble. Cook and stir until garlic is golden brown, about another 5 minutes. Remove from heat. STEP 3: Stir red pepper flakes, black pepper, and salt into the pasta. Pour in olive oil and garlic, and sprinkle on Italian parsley and half of the Parmigiano-Reggiano cheese. Stir until combined. STEP 4: Serve pasta topped with the remaining Parmigiano-Reggiano cheese.";faa94c80-d06b-11ec-9d64-0242ac120002;/recipeImages/spaghetti-aglio-e-olio.png
chicken teryaky;main dish;"Teriyaki chicken is a Japanese dish of grilled chicken brushed with a mixture of soy sauce, mirin, and sake. The word teriyaki is a compound that describes both the marinade and cooking technique: “teri” means gloss and “yaki” means to cook, fry, or grill.";"https://www.gimmesomeoven.com/wp-content/uploads/2016/05/20-Minute-Teriyaki-Chicken-Recipe-1-2.jpg";"STEP 1: Heat the oil in a non-stick pan over a medium heat. Add the chicken and fry for 7 mins, or until golden. Add the garlic and ginger and fry for 2 mins. Stir in the honey, soy sauce, vinegar and 100ml water. Bring to the boil and cook for 2 - 5 mins over a medium heat until the chicken is sticky and coated in a thick sauce. STEP 2: Scatter over the spring onions and sesame seeds, then serve the chicken with the rice and steamed veg.";faa94e24-d06b-11ec-9d64-0242ac120002;/recipeImages/Chicken-Teriyaki.png
indian butter chicken;main dish;"Butter Chicken is one of the most popular curries at any Indian restaurant around the world. Aromatic golden chicken pieces in an incredible creamy curry sauce, this Butter Chicken recipe is one of the best you will try!";"https://www.simplyrecipes.com/thmb/8-J-b01HNXJ0huHmlzgqqefVyGQ=/648x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__01__Butter-Chicken-LEAD-5-de97119a16124a31a3b99ee16a398612.jpg";"STEP 1: Heat 1 tablespoon oil in a large saucepan over medium high heat. Saute shallot and onion until soft and translucent. Stir in butter, lemon juice, ginger-garlic paste, 1 teaspoon garam masala, chili powder, cumin and bay leaf. Cook, stirring, for 1 minute. Add tomato sauce, and cook for 2 minutes, stirring frequently. Stir in half-and-half and yogurt. Reduce heat to low, and simmer for 10 minutes, stirring frequently. Season with salt pepper. Remove from heat and set aside. STEP 2: Heat 1 tablespoon oil in a large heavy skillet over medium heat. Cook chicken until lightly browned, about 10 minutes. Reduce heat, and season with 1 teaspoon garam masala and cayenne. Stir in a few spoonfuls of sauce, and simmer until liquid has reduced, and chicken is no longer pink. Stir cooked chicken into sauce. STEP 3: Mix together cornstarch and water, then stir into the sauce. Cook for 5 to 10 minutes, or until thickened.";faa94fb4-d06b-11ec-9d64-0242ac120002;/recipeImages/Indian-butter-chicken.png
Chicken supreme;main dish;"creamy chicken supreme with mashed potato and steamed green veggies. It makes an easy midweek meal for two";"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken_supreme-c32d56d.jpg?quality=90&webp=true&resize=440,400";"STEP 1: Heat half the oil and butter in a large non-stick frying pan. Add the onion and a pinch of salt and fry for 10-15 mins or until golden brown and caramelised. Add the bacon, turn up the heat and cook for 5 mins or until golden brown. Add the garlic and cook for 1 min more. Scrape the mixture into a bowl and set aside. STEP 2: Heat the remaining oil and butter in the same pan over a medium-high heat. Season the chicken skin and fry, skin-side down, for 8-10 mins or until deep golden brown and crisp. Flip over and fry for 5 mins on the other side. STEP 3: Add the onion and bacon mixture back to the pan. Stir through the flour and cook for 2 mins. Pour in the wine, bring to the boil and simmer for a few minutes. STEP 4: Stir through the cream and mustard and simmer over a low heat, uncovered, for 5 mins with the chicken skin-side up. Season to taste. Scatter with parsley, if you like, and serve with mashed potatoes and greens.";faa95176-d06b-11ec-9d64-0242ac120002;/recipeImages/chicken_supreme.png
Beef Stroganoff;main dish;"Beef Stroganoff is a popular Russian dish of small pieces of beef fillet sautéed in sour cream sauce together with onions and mushrooms. The dish was named after Count Alexander Grigorievich Stroganoff, who lived in the late 19th century in Odessa.";"https://www.fromvalerieskitchen.com/wordpress/wp-content/uploads/2019/10/Beef-Stroganoff-5.jpg";"STEP 1: Heat 1 tbsp olive oil in a non-stick frying pan then add 1 sliced onion and cook on a medium heat until completely softened, around 15 mins, adding a little splash of water if it starts to stick. STEP 2: Crush in 1 garlic clove and cook for 2-3 mins more, then add 1 tbsp butter. STEP 3: Once the butter is foaming a little, add 250g sliced mushrooms and cook for around 5 mins until completely softened. STEP 4: Season everything well, then tip onto a plate. STEP 5: Tip 1 tbsp plain flour into a bowl with a big pinch of salt and pepper, then toss 500g sliced fillet steak in the seasoned flour. STEP 6: Add the steak pieces to the pan, splashing in a little oil if the pan looks dry, and fry for 3-4 mins, until well coloured. STEP 7: Tip the onions and mushrooms back into the pan. Whisk 150g crème fraîche, 1 tsp English mustard and 100ml beef stock together, then stir into the pan. STEP 8: Cook over a medium heat for around 5 mins. STEP 9: Scatter with some chopped parsley, and serve with pappardelle or rice.";faa952c0-d06b-11ec-9d64-0242ac120002;/recipeImages/Beef-Stroganoff.png
Tiramisu;dessert;"Tiramisu is an elegant and rich layered Italian dessert made with delicate ladyfinger cookies, espresso or instant espresso, mascarpone cheese, eggs, sugar, Marsala wine, rum and cocoa powder. Through the grouping of these diverse ingredients, an intense yet refined dish emerges.";"https://cdn.sallysbakingaddiction.com/wp-content/uploads/2019/06/Tiramisu-6.jpg.webp";"STEP 1: Put the double cream, mascarpone, marsala and golden caster sugar in a large bowl. STEP 2: Whisk until the cream and mascarpone have completely combined and have the consistency of thickly whipped cream. STEP 3: Pour the coffee into a shallow dish. Dip in a few of the sponge fingers at a time, turning for a few seconds until they are nicely soaked, but not soggy. Layer these in a dish until you’ve used half the sponge fingers, then spread over half of the creamy mixture. STEP 4: Using the coarse side of the grater, grate over most of the dark chocolate. Then repeat the layers (you should use up all the coffee), finishing with the creamy layer. STEP 5: Cover and chill for a few hours or overnight. Will keep in the fridge for up to two days. STEP 6: To serve, dust with the cocoa powder and grate over the remainder of the chocolate.";faa953c4-d06b-11ec-9d64-0242ac120002;/recipeImages/Tiramisu.png
Linzer tart;dessert;"The scent of cinnamon and nutmeg, lots of butter and caramel sugar: When a Linzer Torte is in the oven, autumn-winter Christmas feelings quickly arise. The traditional Austrian pastry from Linz may require a little effort.";"https://vintagekitchennotes.com/wp-content/uploads/2020/11/Linzer-torte-3..jpg";"STEP 1: Beat butter and sugar together until the mixture is light and fluffy. Stir in 1/2 cup flour, the ground almonds, and cinnamon. Mix in remaining flour 1/2 cup at a time until the mixture becomes a slightly stiff dough. STEP 2: Shape the dough into a ball. divide it in half. Wrap both halves in wax paper or plastic wrap, and refrigerate for about one hour. STEP 3: Preheat oven to 325 degrees F (165 degrees C). Line a baking sheet with parchment paper. STEP 4: On a lightly floured surface, roll half of the dough into a sheet 1/8 inch thick. With a 2 1/2-inch cookie cutter, cut as many circles from the sheet as you can. Knead the leftover scraps of dough into a ball and roll it out again into a 1/8 inch sheet. Cut out more circles. You should now have about 12 circles. STEP 5: Arrange cookies on prepared baking sheet, leaving about 1 inch of space between them. Refrigerate while working with remaining dough. STEP 6: Repeat the rolling and cutting process with the other half of the dough, but after placing the second batch on the baking sheet, cut out the center of each circle with a 1/2 inch cookie cutter. STEP 7: Bake cookies in preheated oven until light brown, 10 to 15 minutes. Cool on wire rack for 20 minutes. STEP 8: Spread a thin coating of jam on each of the cookie rounds. Set a cutout cookie on top of each, pressing the two together so they make a sandwich. Spoon a dab of jam into the opening of each tart and sprinkle the tops with confectioners' sugar before serving.";faa95798-d06b-11ec-9d64-0242ac120002;/recipeImages/Linzer-tart.png
Cantonese fried rice;main dish;"Fried rice is a dish of cooked rice that has been stir-fried in a wok or a frying pan and is usually mixed with other ingredients such as eggs, vegetables, seafood, or meat. It is often eaten by itself or as an accompaniment to another dish.";"https://i0.wp.com/heysistah.com/wp-content/uploads/2018/04/Cantonese-FriedRice.jpg?w=2048&ssl=1";"STEP 1: Bring the water to the boil in a large saucepan. Add the rice and return to the boil. Reduce heat to very low. Cover with a tight-fitting lid and cook for 15 minutes or until the water is absorbed. Set aside, covered, for 10 minutes to stand. STEP 2: Lightly brush a baking tray with oil to grease. Spread the rice over the tray and set aside to cool. Place in the fridge, uncovered, for 6 hours or overnight to cool completely. STEP 3: Heat 1 tablespoon of the extra oil in a large deep frying pan or wok. Add the egg and swirl slightly. Cook for 2-3 minutes or until just set. Use a wooden spoon to stir and break up the egg. Transfer to a plate. STEP 4: Wipe the pan clean. Heat remaining oil over medium-high heat. Add the ham, ginger and shallot, and stir-fry for 30 seconds. Add the rice, peas and prawns, and stir-fry for 2 minutes. Stir in egg, seasoning and sesame oil. Season with salt and white pepper. Stir-fry for a further 2 minutes or until heated through. STEP 5: Transfer the fried rice to a serving dish to serve.";faa958c4-d06b-11ec-9d64-0242ac120002;/recipeImages/Cantonese-Fried-Rice.png
Garlic butter baked salmon;main dish;"Tender garlic butter baked salmon with crispy roast potatoes, asparagus and a delicious garlic butter sauce! all baked on a sheet pan for an easy dinner.";"https://data.thefeedfeed.com/static/2019/05/22/15585558975ce5acf9719f5.jpg";"STEP 1: Season salmon with salt and pepper. STEP 2: Sear the curved presentation side of the salmon (ie. put it in upside down) and cook for 3 minutes until it is nicely golden. STEP 3: Butter and garlic – Turn the salmon, cook another minute, then add the butter. As soon as the butter melts, add the garlic. STEP 4: Baste, baste, baste – Immediately after you’ve added the garlic and even before it has had a chance to go golden, start basting. To do this, tilt the pan slightly so the butter pools on one side. Then scoop up the butter using a large spoon and spoon it over the salmon. The garlic will cook as you baste so by the time the salmon is done, the garlic is perfectly golden. STEP 5: Baste 1 1/2 minutes – Baste for 1 1/2 minutes in total, which should be a total cooking time of around 3 minutes for the second side (1 minute cooking after turning + 30 seconds butter melting time + 1 1/2 minutes basting). Target an internal temperature of 50°C/122°F for medium-rare (optimum juiciness), with the thermometer inserted into the middle of the thickest part of the salmon. See below for more information on the internal temperature of cooked salmon. STEP 6: Rest 3 minutes, then serve with the garlic butter in the pan!";faa95c98-d06b-11ec-9d64-0242ac120002;/recipeImages/garlic-butter-baked-salmon.png
Thai basil beef;main dish;"Thai basil beef is simple and delicious! It’s made with a homemade Thai sauce that has a bold and brilliant flavor and can be thrown together in less than 30 minutes. It is SO GOOD!";"https://www.closetcooking.com/wp-content/uploads/2016/09/ThaiBasilBeef8006722.jpg";"STEP 1: Marinate beef: In a medium bowl add the sliced beef, water, cornstarch, and soy sauce. Toss to coat. Marinate the beef for 30 minutes. This will help make it SUPER tender! STEP 2: Sear beef: Secondly, heat the oil in a large skillet over high heat. Remove the beef from the marinade and sear the beef until just browned, 2-3 minutes. When it’s ready, remove it from the pan and set aside. STEP 3: Saute veggies: Add the red pepper and green onion to the pan and cook for 2-3 minutes or until tender, and then add in garlic and cook for an additional minute. STEP 4: Simmer: Return the beef back to the pan along with the sauce. Cook until thickened, 2-3 minutes. STEP 5: Fold in the Thai basil: And cook until it’s just wilted. Serve immediately with green onions and sesame seeds if desired.";faa95dd8-d06b-11ec-9d64-0242ac120002;/recipeImages/Thai-Basil-Beef.png
Lemony lentil soup;starter;"This Lemony Lentil Soup recipe is full of bright and zesty flavors, it’s naturally gluten-free and vegan, and it’s easy to make in the Instant Pot, Crock-Pot or on the stovetop.";"https://www.gimmesomeoven.com/wp-content/uploads/2020/05/Lemony-Lentil-Soup-Recipe-4.jpg";"STEP 1: Sauté the veggies. I recommend taking an extra few minutes to sauté the onion, carrots and garlic before adding them to the rest of the soup to bring out their best flavors. (This step may require an extra sauté pan, if using a Crock-Pot, or using the sauté feature in the Instant Pot.)  But if you are in a hurry, you can just add these ingredients in with Step 2 below. STEP 2: Simmer. Stir in the vegetable stock, lentils, corn, cumin, curry powder, cayenne and saffron (if using) until combined. Cover and cook (or pressure cook or slow cook) until the lentils are tender. STEP 3: Blend (optional). Using either a hand blender or traditional blender, puree the soup until it reaches your desired consistency. STEP 4: Season. Stir in the lemon zest and juice. Then season the soup with a few generous pinches of salt and pepper as needed. STEP 5: Serve. Serve warm, garnished with an extra lemon slice, and enjoy!";faa95f68-d06b-11ec-9d64-0242ac120002;/recipeImages/Lemony-Lentil-Soup.png
